Worker 1,1542631008901,1542628384526,1542631009246,
Worker 2,1542631009030,1542630996010,1542631009440,
Worker 1,1542631009179,1542628384526,1542631009889,
Worker 2,1542631009332,1542630996010,1542631010019,
Worker 1,1542631009492,1542628384526,1542631010479,
Worker 2,1542631009693,1542630996010,1542631010608,
Worker 1,1542631009862,1542628384526,1542631010990,
Worker 2,1542631010004,1542630996010,1542631011191,
Worker 1,1542631010165,1542628384526,1542631011550,
Worker 2,1542631010349,1542630996010,1542631011789,
Worker 1,1542631010518,1542628384526,1542631012212,
Worker 2,1542631010669,1542630996010,1542631012320,
Worker 1,1542631010855,1542628384526,1542631012777,
Worker 2,1542631011057,1542630996010,1542631012864,
Worker 1,1542631011289,1542628384526,1542631013350,
Worker 2,1542631011468,1542630996010,1542631013454,
Worker 1,1542631011714,1542628384526,1542631013906,
Worker 2,1542631011904,1542630996010,1542631013995,
Worker 2,1542631012198,1542630996010,1542631014549,
Worker 1,1542631012070,1542628384526,1542631014570,
Worker 2,1542631012535,1542630996010,1542631015193,
Worker 1,1542631012352,1542628384526,1542631015192,
Worker 1,1542631012681,1542628384526,1542631015662,
Worker 2,1542631012864,1542630996010,1542631015895,
Worker 1,1542631013024,1542628384526,1542631016324,
Worker 2,1542631013190,1542630996010,1542631016414,
Worker 1,1542631013353,1542628384526,1542631016954,
Worker 2,1542631013511,1542630996010,1542631017027,
Worker 1,1542631013705,1542628384526,1542631017583,
Worker 2,1542631013884,1542630996010,1542631017728,
Worker 1,1542631014032,1542628384526,1542631018166,
Worker 2,1542631014188,1542630996010,1542631018271,
Worker 1,1542631014335,1542628384526,1542631018790,
Worker 2,1542631014500,1542630996010,1542631018839,
Worker 2,1542631014824,1542630996010,1542631019418,
Worker 1,1542631014678,1542628384526,1542631019392,
Worker 2,1542631015148,1542630996010,1542631019930,
Worker 1,1542631015017,1542628384526,1542631020107,
Worker 2,1542631015438,1542630996010,1542631020561,
Worker 1,1542631015310,1542628384526,1542631020639,
Worker 2,1542631015812,1542630996010,1542631021217,
Worker 1,1542631015605,1542628384526,1542631021207,
Worker 1,1542631015992,1542628384526,1542631021777,
Worker 2,1542631016173,1542630996010,1542631021821,
Worker 2,1542631016488,1542630996010,1542631022351,
Worker 1,1542631016316,1542628384526,1542631022341,
Worker 2,1542631016794,1542630996010,1542631022962,
Worker 1,1542631016620,1542628384526,1542631022991,
Worker 1,1542631016925,1542628384526,1542631023519,
Worker 2,1542631017120,1542630996010,1542631023576,
Worker 2,1542631017422,1542630996010,1542631024116,
Worker 1,1542631017251,1542628384526,1542631024175,
Worker 2,1542631017729,1542630996010,1542631024726,
Worker 1,1542631017557,1542628384526,1542631024753,
Worker 1,1542631017892,1542628384526,1542631025311,
Worker 2,1542631018065,1542630996010,1542631025379,
Worker 2,1542631018374,1542630996010,1542631025847,
Worker 1,1542631018224,1542628384526,1542631025877,
Worker 2,1542631018709,1542630996010,1542631026365,
Worker 1,1542631018540,1542628384526,1542631026377,
Worker 2,1542631019007,1542630996010,1542631026900,
Worker 1,1542631018863,1542628384526,1542631026923,
Worker 1,1542631019162,1542628384526,1542631027398,
Worker 2,1542631019318,1542630996010,1542631027453,
Worker 1,1542631019504,1542628384526,1542631027916,
Worker 2,1542631019642,1542630996010,1542631027966,
Worker 1,1542631019790,1542628384526,1542631028334,
Worker 2,1542631019968,1542630996010,1542631028535,
Worker 1,1542631020103,1542628384526,1542631028920,
Worker 2,1542631020259,1542630996010,1542631029012,
Worker 1,1542631020415,1542628384526,1542631029423,
Worker 2,1542631020558,1542630996010,1542631029567,
Worker 1,1542631020709,1542628384526,1542631029974,
Worker 2,1542631020860,1542630996010,1542631030147,
Worker 1,1542631021028,1542628384526,1542631030534,
Worker 2,1542631021181,1542630996010,1542631030574,
Worker 1,1542631021331,1542628384526,1542631031045,
Worker 2,1542631021465,1542630996010,1542631031144,
Worker 1,1542631021623,1542628384526,1542631031525,
Worker 2,1542631021761,1542630996010,1542631031621,
Worker 1,1542631021896,1542628384526,1542631032004,
Worker 2,1542631022034,1542630996010,1542631032072,
Worker 1,1542631022224,1542628384526,1542631032519,
Worker 2,1542631022422,1542630996010,1542631032698,
Worker 1,1542631022571,1542628384526,1542631033084,
Worker 2,1542631022730,1542630996010,1542631033217,
Worker 1,1542631022910,1542628384526,1542631033577,
Worker 2,1542631023061,1542630996010,1542631033682,
Worker 1,1542631023238,1542628384526,1542631034068,
Worker 2,1542631023416,1542630996010,1542631034250,
Worker 1,1542631023598,1542628384526,1542631034620,
Worker 2,1542631023745,1542630996010,1542631034805,
Worker 1,1542631023898,1542628384526,1542631035260,
Worker 2,1542631024046,1542630996010,1542631035355,
Worker 1,1542631024303,1542628384526,1542631035729,
Worker 2,1542631024466,1542630996010,1542631035906,
Worker 1,1542631024633,1542628384526,1542631036297,
Worker 2,1542631024784,1542630996010,1542631036468,
Worker 1,1542631024944,1542628384526,1542631036892,
Worker 2,1542631025094,1542630996010,1542631037052,
